node,display_name,country,citations,first_publication,community
A5040821714,Dongyeop Kang,US,294,2011,8
A5089522357,Weiyan Shi,SG,386,2019,2
A5089601075,Qingxiaoyang Zhu,DE,74,2020,2
A5101815945,Zhou Yu,US,658,2019,2
A5021366318,Aanjaneya Kumar,IN,217,2020,10
A5039215185,Sandeep Chowdhary,AT,119,2021,10
A5003101081,Penelope Hasking,AU,593,2015,29
A5003282344,Mark Boyes,AU,535,2015,29
A5049365731,David A. Preece,AU,1255,2017,29
A5057733690,Rodrigo Becerra,AU,1211,2017,29
A5003473641,Andrew Head,US,138,2020,6
A5019933387,Marti A. Hearst,US,7189,1996,6
A5066433489,Raymond Fok,US,103,2018,6
A5066588555,Kyle Lo,US,2108,2018,6
A5073233842,Sam Skjonsberg,US,62,2021,6
A5085011940,Daniel S. Weld,US,4358,1995,6
A5039411900,Brandon Anderson,US,109,2021,12
A5049073875,Peter Henderson,US,744,2018,12
A5052391231,Lucia Zheng,US,124,2021,12
A5058408154,Daniel E. Ho,US,1628,2005,12
A5068178240,Neel Guha,US,220,2020,12
A5009943357,Keith Burghardt,US,253,2016,14
A5042757290,Minda Hu,US,71,2020,14
A5066325938,Ashwin Rao,US,71,2020,14
A5073443117,Jay Pujara,US,225,2011,27
A5103158614,Yulin Yu,US,37,2022,27
A5063223563,Paramveer S. Dhillon,US,543,2009,30
A5101407672,Jeremy Yang,US,23,2023,20
A5041060862,Onn Shehory,IL,242,1998,27
A5000327528,Milind Tambe,US,6443,1991,23
A5019807694,Jean Oh,US,337,2001,8
A5035800199,David V. Pynadath,US,1394,1999,23
A5040878653,Yolanda Gil,US,1289,1987,8
A5059444198,Hans Chalupsky,US,266,2001,8
A5089542402,Craig A. Knoblock,US,1920,1989,8
A5103380057,Thomas A. Russ,US,222,2001,8
A5080713076,Alcherio Martinoli,CH,129,2005,27
A5062878408,Maurits Kaptein,NL,223,2010,5
A5080863783,Tawan Surachawala,Unknown,90,2012,14
A5063766667,Chris Chao Su,US,181,2017,26
A5074551803,Ngai Keung Chan,HK,81,2017,26
A5000702925,Nazgol Tavabi,US,75,2018,14
